Finding_ID,Area,Audit_Section,Priority,Finding,Roadmap_Task,Release_Class,Status,Implementation_Commit,Review_Model,Review_Commit,Manual_Acceptance,Notes
FOOD-20,Food,§35,P3,Grammar/microcopy/icon polish,R08H.3;R08H.4,POLISH,PLANNED,,,,PENDING,
TRN-01,Training,§56,P1,One dominant current-action hero,R08C.1,CORE,PLANNED,,,,PENDING,
TRN-02,Training,§56,P1,Replace/edit today workout,R08C.2;R08B.4,CORE,PLANNED,,,,PENDING,
TRN-03,Training,§56,P1,Future workout opens preview/customization,R08C.2,CORE,PLANNED,,,,PENDING,
TRN-04,Training/Plans,§56,P1,Change Plan opens Plan Library,R08C.3,CORE,PLANNED,,,,PENDING,
TRN-05,Training/Plans,§56,P1,Consumer Custom Plan Builder hides authoring machinery,R08C.4,CORE,PLANNED,,,,PENDING,
TRN-06,Training,§56,P1,State-guard ordering/known-reason errors,R08A.5,CORE,PLANNED,,,,PENDING,
TRN-07,Training/Calendar,§56,P1,Historical incomplete is not casually resumable,R08C.5,CORE,PLANNED,,,,PENDING,
TRN-08,Training,§56,P1,Define Other Activity or hide; remove from Manage Plan,R08C.7,CORE,PLANNED,,,,PENDING,
TRN-09,Training,§56,P1,Manual completed workout multi-select + compact sets,R08C.7,CORE,PLANNED,,,,PENDING,
TRN-10,Training/Plan,§56,P1,Plan overview progression/schedule/next workout,R08C.9,CORE,PLANNED,,,,PENDING,
TRN-11,Training,§56,P1,Shared feedback/consequential action styling,R08A.4;R08H.1,CORE,PLANNED,,,,PENDING,
TRN-12,Training/Equipment,§56,P1/P2,Equipment Profiles purpose/presets/first-use/substitutions,R08C.6,CORE,PLANNED,,,,PENDING,
TRN-13,Training/Calendar,§56,P2,True Month grid + useful Day/Week semantics,R08C.5,POLISH,PLANNED,,,,PENDING,
TRN-14,Training,§56,P2,Interactive Training week strip,R08C.1,POLISH,PLANNED,,,,PENDING,
TRN-15,Training/Calendar,§56,P2,Remove redundant Start/Resume overflow action,R08C.5,POLISH,PLANNED,,,,PENDING,
TRN-16,Training/History,§56,P2,History shows actual evidence not lifecycle noise,R08C.9,CORE,PLANNED,,,,PENDING,
TRN-17,Training/Exercise Library,§56,P2,Primary categorization/base-variant hierarchy/dense discovery,R08-0.4;R08C.8,CORE,PLANNED,,,,PENDING,
TRN-18,Training/Equipment,§56,P2,Equipment increments only where meaningful,R08C.6,POLISH,PLANNED,,,,PENDING,
TRN-19,Training/Exercise Detail,§56,P2,One Plate Calculator + compact empty Performance,R08C.8,POLISH,PLANNED,,,,PENDING,
TRN-20,Training/Media,§56,P3/high,Approved thumbnails/muscle visuals across Training,R08C.8,POLISH,PLANNED,,,,PENDING,
TRN-21,Training/Travel,§56,REMOVE,Remove Travel Mode normal UI,R08C.10,CORE,PLANNED,,,,PENDING,
WO-01,Workout Execution,§78,P0,Live elapsed timer repaint,R08A.3,BLOCKER,PLANNED,,,,PENDING,
WO-02,Workout Execution,§78,P0,Resume elapsed continuity,R08A.3,BLOCKER,PLANNED,,,,PENDING,
WO-03,Workout Execution,§78,P0/P1,Completion retry idempotency/no lost evidence,R08A.3,BLOCKER,PLANNED,,,,PENDING,
WO-04,Workout Execution,§78,P1,Review status/prescribed-extra correctness,R08B.8,CORE,PLANNED,,,,PENDING,
WO-05,Workout Execution,§78,P1,Shared Planned + Quick player,R08B.1,CORE,PLANNED,,,,PENDING,
WO-06,Workout Execution,§78,P1,Compact editable set rows,R08B.2,CORE,PLANNED,,,,PENDING,
WO-07,Workout Execution,§78,P1,Direct edit/delete logged sets,R08B.2,CORE,PLANNED,,,,PENDING,
WO-08,Workout Execution,§78,P1,First-class replacement preserving history,R08B.4,CORE,PLANNED,,,,PENDING,
WO-09,Workout Execution,§78,P1,Evidence-backed load/reps defaults,R08B.3,CORE,PLANNED,,,,PENDING,
WO-10,Workout Execution,§78,P1,Shared muscle/search-first picker,R08B.4,CORE,PLANNED,,,,PENDING,
WO-11,Workout Execution,§78,P1,Stable rest/no-rest layout,R08B.6,CORE,PLANNED,,,,PENDING,
WO-12,Workout Execution,§78,P1,Remove B02/draft jargon; explain RPE,R08B.5,CORE,PLANNED,,,,PENDING,
WO-13,Workout Execution,§78,P1/P2,Reconcile special/grouped set semantics,R08B.5,CORE,PLANNED,,,,PENDING,
WO-14,Workout Execution,§78,P2,Circular rest progress preserving controls,R08B.6,POLISH,PLANNED,,,,PENDING,
WO-15,Workout Execution,§78,P2,Compact workout progress evidence,R08B.8,POLISH,PLANNED,,,,PENDING,
WO-16,Workout Execution,§78,P2,Review per-set loads/useful totals,R08B.8,CORE,PLANNED,,,,PENDING,
WO-17,Workout Execution,§78,P2,Real form cues or hide; demote setup/Last time,R08B.7,POLISH,PLANNED,,,,PENDING,
WO-18,Workout Execution,Sol/openGym boundary,CORE,Active-session wakelock owner,R08B.6,CORE,PLANNED,,,,PENDING,
PROG-01,Progress,§97,P1 bug,Weight log light heading + clipped label,R08A.4;R08F.4,BLOCKER,PLANNED,,,,PENDING,
PROG-02,Progress,§97,P1,Compact dynamic highlights instead of duplicate Overview,R08F.1,CORE,PLANNED,,,,PENDING,
PROG-03,Progress,§97,P1,Consistency distinguishes sessions vs days,R08F.2,CORE,PLANNED,,,,PENDING,
PROG-04,Progress,§97,P1,Strength trends from actual logged performance,R08F.3,CORE,PLANNED,,,,PENDING,
PROG-05,Progress,§97,P1,Weight trend/goal only with enough observations,R08F.4,CORE,PLANNED,,,,PENDING,
PROG-06,Progress,§97,P1,Nutrition adherence shares date-target authority,R08A.1;R08F.5,BLOCKER,PLANNED,,,,PENDING,
PROG-07,Progress,§97,P1/P2,Interactive evidence-dependent visualizations,R08F.7,CORE,PLANNED,,,,PENDING,
PROG-08,Progress,§97,P2,Training volume period trend context,R08F.6,POLISH,PLANNED,,,,PENDING,
PROG-09,Progress/Achievements,§97,P2,Post-save achievement feedback,R08F.8,POLISH,PLANNED,,,,PENDING,
PROG-10,Progress/Achievements,§97,P2,Tiered achievements only on canonical thresholds,R08F.8,POLISH,PLANNED,,,,PENDING,
PROG-11,Progress,§97,P2,Exercise performance useful best/latest/session summary,R08F.3,POLISH,PLANNED,,,,PENDING,
PROG-12,Progress,§97,P2,Dark-mode density/surface hierarchy,R08F.1;R08H.1,POLISH,PLANNED,,,,PENDING,
PROG-13,Progress,§97,P3,Additional body measurements need separate authority/need,POST-V1,POST-V1,PLANNED,,,,PENDING,
PROG-14,Progress,§96/98,P2,Muscle heatmap truthful metric/range/no-data,R08F.7,POLISH,PLANNED,,,,PENDING,
SET-01,Settings,§115,P1,Unify Goal → Targets → optional Coaching,R08G.2,CORE,PLANNED,,,,PENDING,
SET-02,Settings/Coaching,§115,P1,Simplify coaching; DOB copy/history cleanup,R08G.2,CORE,PLANNED,,,,PENDING,
SET-03,Settings/Data,§115,P1,Backup/Export/Privacy/Danger; remove implementation vocabulary,R08G.6,CORE,PLANNED,,,,PENDING,
SET-04,Settings/Health,§115,P1,One platform-aware Health connection route,R08G.4,CORE,PLANNED,,,,PENDING,
SET-05,Settings/Nutrition,§115,P1,Simplify dietary needs while preserving safety semantics,R08G.3,CORE,PLANNED,,,,PENDING,
SET-06,Settings/Food,§115,P1,Move/reframe Regional Food Packs,R08G.3,CORE,PLANNED,,,,PENDING,
SET-07,Settings/Nutrition,§115,P1,Household measure grouping; preserve volume != weight,R08G.3,CORE,PLANNED,,,,PENDING,
SET-08,Settings/Notifications,§115,P1,Editable schedules; gate unavailable AI reminders/reports,R08G.5,CORE,PLANNED,,,,PENDING,
SET-09,Settings,§115,P1,Deep-screen contrast/labels/truncation/gaps/loading defects,R08G.7,CORE,PLANNED,,,,PENDING,
SET-10,Settings/Hydration,§115,P2,Daily hydration only if persisted authority exists,R08E.7,POST-V1,PLANNED,,,,PENDING,
SET-11,Settings,§115,P2,Improve top-level summaries,R08G.1,POLISH,PLANNED,,,,PENDING,
SET-12,Settings,§115,P2,Reduce card inflation/group settings rows,R08G.7,POLISH,PLANNED,,,,PENDING,
SET-13,Settings/Learn,§115,P2,Keep Learn secondary; constrain Today customization,R08G.1;R08E.6,POLISH,PLANNED,,,,PENDING,
SET-14,Settings/Data,§115,P3,Backup status/privacy explanation polish,R08G.6,POLISH,PLANNED,,,,PENDING,
GR-01,Guardrail,Feature register,REMOVED,Do not resurrect workout calorie formula,R08RC.2,BLOCKER,PLANNED,,,,PENDING,
GR-02,Guardrail,Feature register,REMOVED/DEFERRED,Do not resurrect e1RM/synthetic PR authority,R08RC.2,BLOCKER,PLANNED,,,,PENDING,
GR-03,Guardrail,Feature register,REMOVED,No numeric readiness/recovery score,R08RC.2,BLOCKER,PLANNED,,,,PENDING,
GR-04,Guardrail,Feature register,DEFERRED,Exercise animation/video provider remains deferred,POST-V1,POST-V1,PLANNED,,,,PENDING,
GR-05,Guardrail,Feature register,DEFERRED,Playlist/YouTube remains hidden/fail-closed,POST-V1,POST-V1,PLANNED,,,,PENDING,
GR-06,Guardrail,Feature register,DEFERRED,Strong/Hevy/FitNotes import post-V1,POST-V1,POST-V1,PLANNED,,,,PENDING,
GR-07,Guardrail,Feature register,TECH DEBT,No broad router/token/god-file refactor campaign,R08RC.5,CORE,PLANNED,,,,PENDING,
