IndiFit Canonical ID,IndiFit Exercise Name,Primary Muscle,Equipment,RepDB Candidate ID,RepDB Name,Mapping Confidence,Reason,Asset Available,Start/Peak Available,Taxonomy Conflicts,Manual Review Required
37088aa5-6989-5241-8ad9-23f1687a9435,Seated Dumbbell Shoulder Press,Shoulders,Dumbbells,seated-dumbbell-press,Seated Dumbbell Press,EXACT,Exact seated vertical press match,YES,YES,None (RepDB: anterior_deltoid; IndiFit: Shoulders),NO
c6422f26-c3ca-5a2b-9796-e4a3c17d1563,Dumbbell Lateral Raise,Shoulders,Dumbbells,dumbbell-lateral-raise,Dumbbell Lateral Raise,EXACT,Exact standing dumbbell medial deltoid raise match,YES,YES,None (RepDB: lateral_deltoid; IndiFit: Shoulders),NO
7acd7ccb-01ec-5c3a-80c8-7797efcd3302,Dumbbell Front Raise,Shoulders,Dumbbells,dumbbell-front-raise,Dumbbell Front Raise,EXACT,Exact standing dumbbell anterior deltoid raise match,YES,YES,None (RepDB: anterior_deltoid; IndiFit: Shoulders),NO
5e5620d2-4170-5f2a-bd3d-a1c0070480c9,Face Pulls,Shoulders,Cable,face-pull,Face Pull,EXACT,Singular vs plural naming difference; rope cable face pull,YES,YES,None (RepDB: posterior_deltoid; IndiFit: Shoulders),NO
6c8e559c-a8f8-59f0-a761-81d9c4cf4aa7,Standing Barbell Curl,Biceps,Barbell,barbell-curl,Barbell Curl,STRONG,RepDB omits 'Standing' prefix; identical standing barbell curl,YES,YES,None (RepDB: biceps_brachii; IndiFit: Biceps),NO
93760f3b-6f76-5856-9e79-0022911863cc,Dumbbell Hammer Curl,Biceps,Dumbbells,hammer-curl,Hammer Curl,STRONG,RepDB omits 'Dumbbell' prefix; identical neutral grip curl,YES,YES,None (RepDB: brachioradialis/biceps; IndiFit: Biceps),NO
a5650e7a-0cb9-5acb-8d66-889d2289e647,Incline Dumbbell Curl,Biceps,Dumbbells,incline-dumbbell-curl,Incline Dumbbell Curl,EXACT,Exact incline bench dumbbell curl match,YES,YES,None (RepDB: biceps_brachii; IndiFit: Biceps),NO
cb6bc77b-5a4b-5b00-9e8a-4d0c790f37a7,Preacher Curl,Biceps,EZ Bar,preacher-curl,Preacher Curl,EXACT,Exact preacher bench EZ-bar curl match,YES,YES,None (RepDB: biceps_brachii; IndiFit: Biceps),NO
9cb62691-e65f-56f4-9a93-c82a4834a448,Tricep Pushdown,Triceps,Cable,tricep-pushdown,Tricep Pushdown,EXACT,Exact cable triceps pushdown match,YES,YES,None (RepDB: triceps_brachii; IndiFit: Triceps),NO
b8f0b194-2d41-5514-bc2c-a2bdabbe056e,Skull Crushers (EZ Bar),Triceps,EZ Bar,skull-crusher,Skull Crusher,STRONG,RepDB uses lying EZ-bar skull crusher; name omits '(EZ Bar)' suffix,YES,YES,None (RepDB: triceps_brachii; IndiFit: Triceps),NO
4f71798e-7893-51a2-b542-090c03df5cb6,Overhead Dumbbell Tricep Extension,Triceps,Dumbbells,dumbbell-overhead-tricep-extension,Dumbbell Overhead Tricep Extension,STRONG,Word order difference ('Overhead Dumbbell' vs 'Dumbbell Overhead'),YES,YES,None (RepDB: triceps_brachii; IndiFit: Triceps),NO
bdd4c5a6-ea2b-55e0-a6e0-206ea683b886,Ab Wheel Rollout,Core,Bodyweight,ab-wheel-rollout,Ab Wheel Rollout,EXACT,Exact anti-extension core roll match,YES,YES,None (RepDB: rectus_abdominis; IndiFit: Core),NO
0bce1172-7f1c-5d38-9581-0bc2fc6807bb,Cable Crunch,Core,Cable,cable-crunch,Cable Crunch,EXACT,Exact kneeling cable crunch match,YES,YES,None (RepDB: rectus_abdominis; IndiFit: Core),NO
3525a526-c7a6-5d33-9758-4428da2760b6,Plank,Core,Bodyweight,plank,Plank,EXACT,Exact static prone forearm plank match,YES,YES,None (RepDB: rectus_abdominis; IndiFit: Core),NO
803fcabc-ad1c-52ac-b956-9e85a593c6f3,Hanging Leg Raise,Core,Bodyweight,hanging-leg-raise,Hanging Leg Raise,EXACT,Exact hanging bar knee/leg raise match,YES,YES,None (RepDB: rectus_abdominis/iliopsoas; IndiFit: Core),NO
