family_id,indifit_name,repdb_id,terra_recommendation,movement_match,equipment_match,body_position_match,grip_stance_notes,range_direction_notes,variant_reuse_safe,terra_reason,human_decision,human_notes
FAM-13,Barbell Squat,squat,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral back-squat stance and bar placement across upper back.","Standing position descends to squat depth and returns.",YES,"The bar position, stance, and squat direction are visually correct.",PENDING,""
FAM-14,Leg Press,leg-press,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral feet on sled platform in a conventional stance.","Sled travels through knee/hip flexion to extension.",YES,"The ordinary 45-degree sled is truthful for the canonical generic machine leg press.",PENDING,""
FAM-15,Romanian Deadlift (RDL),romanian-deadlift,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral barbell stance and grip; unsupported standing hinge.","Bar lowers along the legs during hip hinge and returns to standing.",YES,"The straight-leg-dominant hinge and bar path distinguish it from a floor deadlift.",PENDING,""
FAM-16,Leg Extensions,leg-extension,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral lower-leg pad engagement from a seated machine.","Knees move from flexion to extension and back.",YES,"The machine, seated setup, and isolated knee-extension range match.",PENDING,""
FAM-17,Seated Leg Curl,leg-curl,REJECT_RECOMMENDED,PARTIAL_MATCH,NO_MATCH,NO_MATCH,"Bilateral lower-leg pad is present, but the user is prone rather than seated.","Knees flex from extended legs while prone; this is the wrong setup for the canonical seated curl.",NO,"The candidate is a lying/prone leg curl; seated and lying apparatus/body orientation are materially different.",PENDING,"Confirm fail-closed rejection; do not bind prone art to seated UUIDs."
FAM-18,Standing Calf Raise,standing-calf-raise,REJECT_RECOMMENDED,PARTIAL_MATCH,NO_MATCH,MATCH,"Bilateral stance is correct, but prominent shoulder pads, handles, and machine platform are not canonical bodyweight setup.","Heels rise and lower through plantarflexion, but the machine changes the exercise setup.",NO,"The canonical catalog specifies Bodyweight standing calf raises on a step edge; the candidate is a loaded calf machine.",PENDING,"Confirm fail-closed rejection; canonical equipment remains Bodyweight."
FAM-19,Walking Lunges,db-lunge,NEEDS_HUMAN_REVIEW,NEEDS_HUMAN_REVIEW,MATCH,MATCH,"Bilateral dumbbells; pair shows one forward-leg split-lunge position.","Shows a forward lunge descent but not return, alternation, or continuous travel.",NEEDS_HUMAN_REVIEW,"A static pair may represent one walking-lunge step, but the artwork does not establish locomotion; product judgment is required.",PENDING,"Question: Is a standing-to-forward-lunge pair sufficient for Walking Lunges, or must travel/alternation be visible?"
FAM-20,Overhead Barbell Press,ohp,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral barbell grip at shoulder/chest start; standing stance.","Bar presses vertically from upper chest to overhead lockout.",YES,"The standing setup and vertical press are clear.",PENDING,""
FAM-21,Seated Dumbbell Shoulder Press,seated-db-press,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral dumbbells; neutral-to-pronated grip is harmless.","Dumbbells travel from shoulders to overhead and back.",YES,"The seated vertical press and back support are visually faithful.",PENDING,""
FAM-22,Dumbbell Lateral Raise,lateral-raise,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral dumbbells at sides; standing unsupported.","Arms move from sides to roughly shoulder height and lower.",YES,"The frontal-plane raise and bilateral stance are unambiguous.",PENDING,""
FAM-23,Dumbbell Front Raise,dumbbell-front-raise,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral dumbbells with neutral-looking grip; standing unsupported.","Arms move forward from sides to about shoulder height.",YES,"The sagittal-plane raise is clear and does not resemble a press.",PENDING,""
FAM-24,Face Pulls,face-pull,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral rope grip with elbows high and externally rotated.","Rope travels from extended arms to eye/forehead level.",YES,"The elbow path and rope-to-face finish communicate a face pull.",PENDING,""
FAM-25,Standing Barbell Curl,barbell-curl,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral underhand bar grip; standing unsupported.","Bar moves from thighs to front of shoulders and returns.",YES,"The standing stance and elbow-flexion range are correct.",PENDING,""
FAM-26,Dumbbell Hammer Curl,hammer-curl,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral neutral hammer grip; standing unsupported.","Dumbbells move from sides to shoulders with elbows flexing.",YES,"The neutral grip and bilateral curl are visually truthful.",PENDING,""
FAM-27,Incline Dumbbell Curl,incline-db-curl,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Dumbbells hang beside the torso; side view prominently shows one arm but does not change laterality.","Arms extend behind the torso at start and curl toward shoulders.",YES,"Incline shoulder position and curl direction are clear.",PENDING,""
FAM-28,Preacher Curl,preacher-curl,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"EZ-bar grip is a harmless attachment specificity for generic Preacher Curl.","Forearms curl from extended over pad toward the chest.",YES,"Supported elbow position and curl path are exact; EZ-bar versus straight bar is not material here.",PENDING,""
FAM-29,Tricep Pushdown,tricep-pushdown,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral bar/handle grip; elbows stay near sides.","Handle travels from bent elbows to straight-arm pushdown.",YES,"The high-pulley setup and downward elbow-extension direction match.",PENDING,""
FAM-30,Skull Crushers (EZ Bar),skull-crusher,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral EZ-bar grip while supine.","Elbows flex to bring bar toward forehead and extend to straight arms.",YES,"The lying position, EZ bar, and forehead-directed range are exact.",PENDING,""
FAM-31,Overhead Dumbbell Tricep Extension,overhead-tricep-extension,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Both hands hold one dumbbell overhead; standing unsupported.","Dumbbell moves from overhead to behind head and back.",YES,"The overhead elbow-flexion direction and equipment are correct.",PENDING,""
FAM-32,Ab Wheel Rollout,ab-wheel-rollout,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral hands on wheel; knees remain grounded.","Wheel rolls forward into anti-extension and returns.",YES,"The kneeling setup and anti-extension range are clear.",PENDING,""
FAM-33,Cable Crunch,cable-crunch,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral rope behind neck; kneeling facing away from high pulley.","Spine flexes downward toward thighs and returns under control.",YES,"The rope placement and spinal-flexion direction match canonical cues.",PENDING,""
FAM-34,Plank,plank,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral forearm support with toes grounded; straight body line.","Static hold; MAIN-only art is sufficient and does not claim tempo.",YES,"The MAIN image is a truthful canonical forearm plank.",PENDING,""
FAM-35,Hanging Leg Raise,hanging-leg-raise,REJECT_RECOMMENDED,NO_MATCH,MATCH,PARTIAL_MATCH,"Bilateral overhand grip is correct, but knees are visibly flexed.","Image raises bent knees rather than straight legs to the canonical 90-degree target.",NO,"The candidate depicts a bent-knee hanging knee raise, not the canonical straight-leg hanging leg raise.",PENDING,"Confirm fail-closed rejection; do not bind knee-raise art to straight-leg UUIDs."
