family_id,indifit_name,repdb_id,human_decision,human_reason,terra_recommendation,approved_variant_reuse,approval_record_id,approval_date,approved_by,notes
FAM-18,Standing Calf Raise,standing-calf-raise,REJECTED_FALLBACK,Canonical IndiFit setup is Bodyweight (step edge); candidate visibly depicts a loaded standing calf machine with shoulder pads and weight stack.,REJECT_RECOMMENDED,false,REC-R08-02-FAM-18,2026-08-21,Human Product Owner,Fails closed to B05 canonical muscle / neutral text fallback. Canonical equipment is Bodyweight.
FAM-19,Walking Lunges,db-lunge,REJECTED_FALLBACK,Candidate communicates a stationary forward lunge step but does not truthfully communicate walking or alternating locomotion. Fail closed rather than force coverage.,NEEDS_HUMAN_REVIEW,false,REC-R08-02-FAM-19,2026-08-21,Human Product Owner,Fails closed to B05 canonical muscle / neutral text fallback. Product authority decision: require visible locomotion/alternation.
FAM-20,Overhead Barbell Press,ohp,APPROVED,Standing vertical barbell press mechanics and chest-to-overhead lockout trajectory are clear.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-20,2026-08-21,Human Product Owner,Standard standing barbell overhead press.
FAM-21,Seated Dumbbell Shoulder Press,seated-db-press,APPROVED,Seated vertical pressing mechanics and dumbbell equipment match.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-21,2026-08-21,Human Product Owner,Seated upright bench support.
FAM-22,Dumbbell Lateral Raise,lateral-raise,APPROVED,Frontal-plane shoulder abduction and standing unsupported stance are unambiguous.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-22,2026-08-21,Human Product Owner,Standard standing dumbbell lateral deltoid raise.
FAM-23,Dumbbell Front Raise,dumbbell-front-raise,APPROVED,Sagittal-plane forward arm elevation to shoulder height is visually truthful.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-23,2026-08-21,Human Product Owner,Approved for 4 canonical variants.
FAM-24,Face Pulls,face-pull,APPROVED,"High pulley rope attachment, high elbows, external rotation, and eye-level finish communicate a face pull.",APPROVE_RECOMMENDED,true,REC-R08-02-FAM-24,2026-08-21,Human Product Owner,Standard rope cable face pull.
FAM-25,Standing Barbell Curl,barbell-curl,APPROVED,Standing supinated bilateral barbell elbow flexion is exact.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-25,2026-08-21,Human Product Owner,Approved for 4 canonical variants.
FAM-26,Dumbbell Hammer Curl,hammer-curl,APPROVED,Neutral hammer grip and standing bilateral curl range are visually truthful.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-26,2026-08-21,Human Product Owner,Standard dumbbell neutral grip curl.
FAM-27,Incline Dumbbell Curl,incline-db-curl,APPROVED,Incline bench shoulder extension and curl path are visually clear.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-27,2026-08-21,Human Product Owner,Side profile view is acceptable for bilateral incline curl.
FAM-28,Preacher Curl,preacher-curl,APPROVED,Arm-supported preacher pad geometry and curl path are exact; EZ-bar depiction is acceptable attachment specificity.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-28,2026-08-21,Human Product Owner,Caveat noted: EZ-bar attachment depicted; consistent with generic preacher bench curl.
FAM-29,Tricep Pushdown,tricep-pushdown,APPROVED,High-cable pushdown with pinned elbows is visually truthful.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-29,2026-08-21,Human Product Owner,Standard cable triceps extension.
FAM-30,Skull Crushers (EZ Bar),skull-crusher,APPROVED,"Supine flat bench position, EZ-bar grip, and forehead-directed elbow flexion are exact.",APPROVE_RECOMMENDED,true,REC-R08-02-FAM-30,2026-08-21,Human Product Owner,Matches canonical lying EZ-bar skull crusher.
FAM-31,Overhead Dumbbell Tricep Extension,overhead-tricep-extension,APPROVED,Two-handed overhead dumbbell extension behind neck is visually clear.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-31,2026-08-21,Human Product Owner,Approved for 4 canonical variants.
FAM-32,Ab Wheel Rollout,ab-wheel-rollout,APPROVED,Kneeling anti-extension rollout range and wheel apparatus are exact.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-32,2026-08-21,Human Product Owner,Approved for 4 canonical variants.
FAM-33,Cable Crunch,cable-crunch,APPROVED,Kneeling spinal flexion against high pulley rope matches canonical cues.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-33,2026-08-21,Human Product Owner,Standard kneeling cable abdominal crunch.
FAM-34,Plank,plank,APPROVED,Prone forearm plank posture is visually truthful; static hold correctly uses single MAIN image.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-34,2026-08-21,Human Product Owner,MAIN-only image accepted for static core hold.
FAM-35,Hanging Leg Raise,hanging-leg-raise,REJECTED_FALLBACK,Candidate depicts a bent-knee hanging knee raise rather than the canonical straight-leg raise to approximately 90 degrees.,REJECT_RECOMMENDED,false,REC-R08-02-FAM-35,2026-08-21,Human Product Owner,Fails closed to B05 canonical muscle / neutral text fallback. Do not bind bent-knee artwork to straight-leg canonical UUIDs.
