family_id,base_name,indifit_primary_uuid,canonical_uuid_bindings,canonical_names,equipment,primary_display_muscle,secondary_display_muscles,repdb_id,repdb_name,repdb_equipment,repdb_primary_muscles,repdb_secondary_muscles,repdb_start_path,repdb_peak_path,repdb_main_path,candidate_confidence,candidate_reason,semantic_conflicts,visual_review_status,visual_review_notes,reviewer,review_date,approval_record_id
FAM-11,Pull-Ups,4e17e360-9f97-5cd4-a68c-c9dc1dcd7724,4e17e360-9f97-5cd4-a68c-c9dc1dcd7724;15b91f5f-c007-5afa-98c0-8e2154eb84b6;96fa8741-f9d7-51a8-b9a6-8276c0d48e9a;f1fd96e9-e59c-54dd-ab83-9ee1ad3747be,Pull-Ups;Pull-Ups (Standard);Pause Pull-Ups;Slow Eccentric Pull-Ups,Bodyweight,Back,Biceps,pull-up,Pull-Up,pull_up_bar,latissimus_dorsi,"biceps_brachii, posterior_deltoid, rhomboids",images/flat/pull-up-start.webp,images/flat/pull-up-peak.webp,,EXACT,Singular vs plural naming difference; standard overhand bodyweight pull-up.,None (RepDB: latissimus_dorsi; IndiFit: Back).,PENDING,,,,
FAM-12,Seated Cable Row,9fae7317-b8a5-5f5c-ba93-9d1611fb21dc,9fae7317-b8a5-5f5c-ba93-9d1611fb21dc;a9996115-566e-5d9a-b7b4-2634ffe5e97c;e78325b4-b36a-5bf3-a6a8-c7e5eecb1066;916b7eb0-fa0c-5e4c-b7e9-57635901091f,Seated Cable Row;Seated Cable Row (Standard);Pause Seated Cable Row;Slow Eccentric Seated Cable Row,Cables,Back,Biceps,wide-grip-seated-cable-row,Wide Grip Seated Cable Row,cable,"latissimus_dorsi, rhomboids","biceps_brachii, posterior_deltoid",images/flat/wide-grip-seated-cable-row-start.webp,images/flat/wide-grip-seated-cable-row-peak.webp,,STRONG,Exact apparatus and seated cable row mechanics.,Grip attachment note: RepDB illustration uses wide-grip bar attachment rather than close-grip V-bar. Reviewer must verify whether wide-grip visual is acceptable for canonical Seated Cable Row.,PENDING,,,,
FAM-13,Barbell Squat,d3b5ab04-74f6-5155-9621-50238644eeda,d3b5ab04-74f6-5155-9621-50238644eeda;73d7db9e-67f2-5311-a106-31bca1914a95;3bf3d06e-5e1d-5d47-b05f-0b954ec89de9;1b4fa856-03b8-5c6b-81ca-8df9b13721d4,Barbell Squat;Barbell Squat (Standard);Pause Barbell Squat;Slow Eccentric Barbell Squat,Barbell,Legs,"Glutes, Core",squat,Barbell Back Squat,barbell,"gluteus_maximus, quadriceps","erector_spinae, hamstrings",images/flat/squat-start.webp,images/flat/squat-peak.webp,,EXACT,Exact back squat match; standard bilateral barbell back squat.,None (RepDB: quadriceps; IndiFit: Legs/Quads).,PENDING,,,,
FAM-14,Leg Press,081ed879-f46b-592a-8982-345f0f01dd3f,081ed879-f46b-592a-8982-345f0f01dd3f;1b692ec8-40d9-53e5-a7dd-47af7606d42b;d167dea0-e52d-59dd-9ad9-1c597bbf65ab;26ce5ae7-2f08-55a2-b015-c60ae6307d3b,Leg Press;Leg Press (Standard);Pause Leg Press;Slow Eccentric Leg Press,Machine,Legs,Glutes,leg-press,Leg Press,leg_press,"gluteus_maximus, quadriceps",hamstrings,images/flat/leg-press-start.webp,images/flat/leg-press-peak.webp,,EXACT,Exact 45-degree sled machine leg press match.,None (RepDB: quadriceps; IndiFit: Legs/Quads).,PENDING,,,,
FAM-15,Romanian Deadlift (RDL),7887c839-1b15-5005-a0c9-b942842548e3,7887c839-1b15-5005-a0c9-b942842548e3;8f4249e1-62c9-50be-a30c-e5f90b0b61ff;5742f3b8-9595-591c-a042-bc11a162840c;ccfda1c6-c811-538c-89cf-be67fa8fe932,Romanian Deadlift (RDL);Romanian Deadlift (RDL) (Standard);Pause Romanian Deadlift (RDL);Slow Eccentric Romanian Deadlift (RDL),Barbell,Hamstrings,"Glutes, Back",romanian-deadlift,Romanian Deadlift,barbell,"gluteus_maximus, hamstrings",erector_spinae,images/flat/romanian-deadlift-start.webp,images/flat/romanian-deadlift-peak.webp,,EXACT,Exact barbell hinge movement; IndiFit includes (RDL) acronym alias.,None (RepDB: hamstrings; IndiFit: Hamstrings).,PENDING,,,,
FAM-16,Leg Extensions,568fcfd9-bb09-5299-a898-801e93216770,568fcfd9-bb09-5299-a898-801e93216770;7c25a9f3-00af-5e09-b667-a6f9d9c024e2;56feb751-efbb-5302-902d-940d45697261;e87b0d6a-0a2c-595b-b241-89fc0d6f32fb,Leg Extensions;Leg Extensions (Standard);Pause Leg Extensions;Slow Eccentric Leg Extensions,Machine,Legs,,leg-extension,Leg Extension,leg_extension,quadriceps,,images/flat/leg-extension-start.webp,images/flat/leg-extension-peak.webp,,EXACT,Singular vs plural naming difference; seated machine knee extension.,None (RepDB: quadriceps; IndiFit: Legs/Quads).,PENDING,,,,
FAM-17,Seated Leg Curl,59ff6c53-7932-57e3-a546-07ac2aa457ae,59ff6c53-7932-57e3-a546-07ac2aa457ae;84776ac4-f142-55cd-92f6-fa35a74956d3;9fb9ee61-0792-5eef-a5f7-923914649294;4f035379-6a9e-52a9-bb2b-b4c608808ba6,Seated Leg Curl;Seated Leg Curl (Standard);Pause Seated Leg Curl;Slow Eccentric Seated Leg Curl,Machine,Hamstrings,,leg-curl,Lying Leg Curl,leg_curl,hamstrings,gastrocnemius,images/flat/leg-curl-start.webp,images/flat/leg-curl-peak.webp,,AMBIGUOUS,RepDB free tier only includes lying prone machine leg curl (leg-curl); lacks seated leg curl machine illustration.,Apparatus / Body orientation conflict: IndiFit prescribes Seated Leg Curl; RepDB candidate illustrates Lying Leg Curl (prone). Reviewer must evaluate if lying machine artwork is acceptable or should fail closed to muscle/text fallback.,PENDING,,,,
FAM-18,Standing Calf Raise,426ff89a-6639-51d1-a6c1-33184586bbed,426ff89a-6639-51d1-a6c1-33184586bbed;b1e568c2-89f5-5689-b8d7-ee46d1205cf1;419c463a-1d6a-5e6c-9000-54832b5116f5;3c34c8f2-ce64-5f74-b002-e55775759e6d,Standing Calf Raise;Standing Calf Raise (Standard);Pause Standing Calf Raise;Slow Eccentric Standing Calf Raise,Bodyweight,Calves,,standing-calf-raise,Standing Calf Raise,standing_calf_raise_machine,gastrocnemius,soleus,images/flat/machine-calf-raise-start.webp,images/flat/machine-calf-raise-peak.webp,,EXACT,Exact standing machine calf raise match.,None (RepDB: gastrocnemius; IndiFit: Calves).,PENDING,,,,
FAM-19,Walking Lunges,d8a67487-1f7a-5bed-b1aa-62537870b25b,d8a67487-1f7a-5bed-b1aa-62537870b25b;13e0d854-7591-586e-813f-4a462fbd1722;f187e832-fdfa-5c75-a9bd-2cb19ff122f7;a6b5fe22-9279-5ade-8f1e-f7d1cc323f80,Walking Lunges;Walking Lunges (Standard);Pause Walking Lunges;Slow Eccentric Walking Lunges,Dumbbells,Legs,Glutes,db-lunge,Dumbbell Lunge,dumbbell,"gluteus_maximus, quadriceps",hamstrings,images/flat/db-lunge-start.webp,images/flat/db-lunge-peak.webp,,STRONG,Dumbbell lunge with matching dumbbell equipment.,Locomotion note: RepDB illustration shows stationary dumbbell split lunge posture rather than continuous walking traversal.,PENDING,,,,
FAM-20,Overhead Barbell Press,d2674149-5f1c-529b-9e3e-136fef2d8933,d2674149-5f1c-529b-9e3e-136fef2d8933;93e0d927-843c-55e1-aa47-39071e715a63;209a82cb-2a0f-5905-8d1a-a35cf35945fb;1f05a67e-8cc2-5b02-a6b9-76bee46e3beb,Overhead Barbell Press;Overhead Barbell Press (Standard);Pause Overhead Barbell Press;Slow Eccentric Overhead Barbell Press,Barbell,Shoulders,"Triceps, Core",ohp,Barbell Overhead Press,barbell,"anterior_deltoid, lateral_deltoid","trapezius, triceps_brachii",images/flat/ohp-start.webp,images/flat/ohp-peak.webp,,STRONG,RepDB uses OHP acronym; exact standing barbell overhead press.,None (RepDB: anterior_deltoid; IndiFit: Shoulders).,PENDING,,,,
FAM-21,Seated Dumbbell Shoulder Press,37088aa5-6989-5241-8ad9-23f1687a9435,37088aa5-6989-5241-8ad9-23f1687a9435;1976abfd-1c4a-5d9c-8788-2f86ee8f1b61;e6d19944-fd95-5213-9bcb-89b1cc507ab4;ea431a7f-19b8-5e5e-9e4c-da6298f4c50e,Seated Dumbbell Shoulder Press;Seated Dumbbell Shoulder Press (Standard);Pause Seated Dumbbell Shoulder Press;Slow Eccentric Seated Dumbbell Shoulder Press,Dumbbells,Shoulders,Triceps,seated-db-press,Seated Dumbbell Shoulder Press,dumbbell,"anterior_deltoid, lateral_deltoid","trapezius, triceps_brachii",images/flat/seated-db-press-start.webp,images/flat/seated-db-press-peak.webp,,EXACT,Exact seated vertical dumbbell press match.,None (RepDB: anterior_deltoid; IndiFit: Shoulders).,PENDING,,,,
FAM-22,Dumbbell Lateral Raise,c6422f26-c3ca-5a2b-9796-e4a3c17d1563,c6422f26-c3ca-5a2b-9796-e4a3c17d1563;5a039bbb-5edf-50a9-bbb5-3f349555689d;0fa6d488-a6a9-56e0-ad16-401162373b19;b095c880-f806-5b29-a2e0-300632a48796,Dumbbell Lateral Raise;Dumbbell Lateral Raise (Standard);Pause Dumbbell Lateral Raise;Slow Eccentric Dumbbell Lateral Raise,Dumbbells,Shoulders,,lateral-raise,Dumbbell Lateral Raise,dumbbell,lateral_deltoid,anterior_deltoid,images/flat/lateral-raise-start.webp,images/flat/lateral-raise-peak.webp,,EXACT,Exact standing dumbbell medial deltoid raise match.,None (RepDB: lateral_deltoid; IndiFit: Shoulders).,PENDING,,,,
FAM-23,Dumbbell Front Raise,7acd7ccb-01ec-5c3a-80c8-7797efcd3302,7acd7ccb-01ec-5c3a-80c8-7797efcd3302;7834b7ff-ccfb-5d3b-b06a-0d36f1621841;e3003cca-416b-599f-a691-c2d976688108;d095fe23-fbe7-5944-a9e9-b244cc6c52ce,Dumbbell Front Raise;Dumbbell Front Raise (Standard);Pause Dumbbell Front Raise;Slow Eccentric Dumbbell Front Raise,Dumbbells,Shoulders,,dumbbell-front-raise,Dumbbell Front Raise,dumbbell,anterior_deltoid,lateral_deltoid,images/flat/dumbbell-front-raise-start.webp,images/flat/dumbbell-front-raise-peak.webp,,EXACT,Exact standing dumbbell anterior deltoid raise match.,None (RepDB: anterior_deltoid; IndiFit: Shoulders).,PENDING,,,,
FAM-24,Face Pulls,5e5620d2-4170-5f2a-bd3d-a1c0070480c9,5e5620d2-4170-5f2a-bd3d-a1c0070480c9;b8dbb448-b55b-524a-94e8-b485abc563db;f76c4d8d-6b3f-5ac7-8589-1dedba951634;84e64439-e26f-5ad4-80ab-587f29ff1a74,Face Pulls;Face Pulls (Standard);Pause Face Pulls;Slow Eccentric Face Pulls,Cables,Shoulders,Back,face-pull,Cable Face Pull,cable,"posterior_deltoid, rhomboids",trapezius,images/flat/face-pull-start.webp,images/flat/face-pull-peak.webp,,EXACT,Singular vs plural naming difference; rope cable face pull to eye level.,None (RepDB: posterior_deltoid; IndiFit: Shoulders).,PENDING,,,,
FAM-25,Standing Barbell Curl,6c8e559c-a8f8-59f0-a761-81d9c4cf4aa7,6c8e559c-a8f8-59f0-a761-81d9c4cf4aa7;5a555f32-2b94-58b7-a627-708df73096f9;c1b4df37-8a58-5053-8f41-f6aeb8990f8f;37582935-75f9-5fe3-aa4e-8891f6fdc35a,Standing Barbell Curl;Standing Barbell Curl (Standard);Pause Standing Barbell Curl;Slow Eccentric Standing Barbell Curl,Barbell,Biceps,,barbell-curl,Barbell Curl,barbell,biceps_brachii,"brachialis, forearm_flexors",images/flat/barbell-curl-start.webp,images/flat/barbell-curl-peak.webp,,STRONG,RepDB omits 'Standing' prefix; identical standing bilateral barbell curl.,None (RepDB: biceps_brachii; IndiFit: Biceps).,PENDING,,,,
FAM-26,Dumbbell Hammer Curl,93760f3b-6f76-5856-9e79-0022911863cc,93760f3b-6f76-5856-9e79-0022911863cc;b9ba7916-de0c-5068-a4e1-39fa395b0a31;4cab0e37-bdbe-53e9-bf46-50309381ea17;64074bfd-2840-5974-ba9e-2e3e46748509,Dumbbell Hammer Curl;Dumbbell Hammer Curl (Standard);Pause Dumbbell Hammer Curl;Slow Eccentric Dumbbell Hammer Curl,Dumbbells,Biceps,,hammer-curl,Dumbbell Hammer Curl,dumbbell,"biceps_brachii, brachialis",forearm_flexors,images/flat/hammer-curl-start.webp,images/flat/hammer-curl-peak.webp,,STRONG,RepDB names it hammer-curl; identical neutral-grip standing dumbbell curl.,None (RepDB: brachioradialis/biceps; IndiFit: Biceps).,PENDING,,,,
FAM-27,Incline Dumbbell Curl,a5650e7a-0cb9-5acb-8d66-889d2289e647,a5650e7a-0cb9-5acb-8d66-889d2289e647;9b638815-f580-511c-9f06-3d3fa0e12d0a;aecb66d9-5817-5093-83c6-1e56a236854e;58200cd2-1ea4-509a-8ef9-77467602f9af,Incline Dumbbell Curl;Incline Dumbbell Curl (Standard);Pause Incline Dumbbell Curl;Slow Eccentric Incline Dumbbell Curl,Dumbbells,Biceps,,incline-db-curl,Incline Dumbbell Curl,dumbbell,biceps_brachii,brachialis,images/flat/incline-db-curl-start.webp,images/flat/incline-db-curl-peak.webp,,EXACT,Exact incline bench dumbbell curl match.,None (RepDB: biceps_brachii; IndiFit: Biceps).,PENDING,,,,
FAM-28,Preacher Curl,cb6bc77b-5a4b-5b00-9e8a-4d0c790f37a7,cb6bc77b-5a4b-5b00-9e8a-4d0c790f37a7;b6e6e3a7-6896-5362-ba5c-68b66c70263b;5433b78a-3583-56f4-a264-cb1c6495af7b;4e154d93-302a-5ccb-97a9-fa684cbffbf2,Preacher Curl;Preacher Curl (Standard);Pause Preacher Curl;Slow Eccentric Preacher Curl,Barbell,Biceps,,preacher-curl,Preacher Curl,ez_bar,biceps_brachii,brachialis,images/flat/preacher-curl-start.webp,images/flat/preacher-curl-peak.webp,,EXACT,Exact preacher bench EZ-bar curl match.,None (RepDB: biceps_brachii; IndiFit: Biceps).,PENDING,,,,
FAM-29,Tricep Pushdown,9cb62691-e65f-56f4-9a93-c82a4834a448,9cb62691-e65f-56f4-9a93-c82a4834a448;680d6269-6d0f-5d37-bc56-c851de59ef76;8c01c75a-b425-53ac-9892-7b5d3f2d664c;4119c3bb-cd5a-5027-91e4-5d3edd747a30,Tricep Pushdown;Tricep Pushdown (Standard);Pause Tricep Pushdown;Slow Eccentric Tricep Pushdown,Cables,Triceps,,tricep-pushdown,Cable Tricep Pushdown,cable,triceps_brachii,,images/flat/tricep-pushdown-start.webp,images/flat/tricep-pushdown-peak.webp,,EXACT,Exact cable triceps pushdown match.,None (RepDB: triceps_brachii; IndiFit: Triceps).,PENDING,,,,
FAM-30,Skull Crushers (EZ Bar),b8f0b194-2d41-5514-bc2c-a2bdabbe056e,b8f0b194-2d41-5514-bc2c-a2bdabbe056e;a570013f-3743-5c80-8f40-5fed726b4925;1230840b-9006-525b-a392-bfe9faf7cfe5;1fc82856-abad-5a9f-ae6c-73069ff0c36b,Skull Crushers (EZ Bar);Skull Crushers (EZ Bar) (Standard);Pause Skull Crushers (EZ Bar);Slow Eccentric Skull Crushers (EZ Bar),Barbell,Triceps,,skull-crusher,Skull Crusher,barbell,triceps_brachii,,images/flat/skull-crusher-start.webp,images/flat/skull-crusher-peak.webp,,STRONG,RepDB names it skull-crusher; visual is lying EZ-bar triceps extension to forehead.,None (RepDB: triceps_brachii; IndiFit: Triceps).,PENDING,,,,
FAM-31,Overhead Dumbbell Tricep Extension,4f71798e-7893-51a2-b542-090c03df5cb6,4f71798e-7893-51a2-b542-090c03df5cb6;81d3dde6-4f93-586f-8f76-c96256e82135;386ded7b-1307-5ebb-b76d-f5dde4cb1ec3;8dd8f09b-5e0c-56b7-bb45-55d58947db72,Overhead Dumbbell Tricep Extension;Overhead Dumbbell Tricep Extension (Standard);Pause Overhead Dumbbell Tricep Extension;Slow Eccentric Overhead Dumbbell Tricep Extension,Dumbbells,Triceps,,overhead-tricep-extension,Overhead Tricep Extension,dumbbell,triceps_brachii,,images/flat/overhead-tricep-extension-start.webp,images/flat/overhead-tricep-extension-peak.webp,,STRONG,Exact overhead dumbbell extension movement; word order difference.,None (RepDB: triceps_brachii; IndiFit: Triceps).,PENDING,,,,
FAM-32,Ab Wheel Rollout,bdd4c5a6-ea2b-55e0-a6e0-206ea683b886,bdd4c5a6-ea2b-55e0-a6e0-206ea683b886;3163de96-3fc3-533d-ab06-70ac27ae214c;73601fc7-0d6a-5b78-84d4-499399470903;695681c5-e86f-5bcc-930a-85d2ef73f583,Ab Wheel Rollout;Ab Wheel Rollout (Standard);Pause Ab Wheel Rollout;Slow Eccentric Ab Wheel Rollout,Bodyweight,Core,,ab-wheel-rollout,Ab Wheel Rollout,ab_wheel,"rectus_abdominis, transverse_abdominis","anterior_deltoid, latissimus_dorsi, obliques, serratus_anterior",images/flat/ab-wheel-rollout-start.webp,images/flat/ab-wheel-rollout-peak.webp,,EXACT,Exact kneeling anti-extension core roll match.,None (RepDB: rectus_abdominis; IndiFit: Core).,PENDING,,,,
FAM-33,Cable Crunch,0bce1172-7f1c-5d38-9581-0bc2fc6807bb,0bce1172-7f1c-5d38-9581-0bc2fc6807bb;8ea9c7c8-75d9-53d1-a1d6-fefe851f1688;29c7bd7d-342a-54ba-ad69-ebef5f15a7e2;85c25be6-ccbd-5b87-9e4a-1edac4359256,Cable Crunch;Cable Crunch (Standard);Pause Cable Crunch;Slow Eccentric Cable Crunch,Cables,Core,,cable-crunch,Cable Crunch,cable,rectus_abdominis,"obliques, transverse_abdominis",images/flat/cable-crunch-start.webp,images/flat/cable-crunch-peak.webp,,EXACT,Exact kneeling cable spine flexion crunch match.,None (RepDB: rectus_abdominis; IndiFit: Core).,PENDING,,,,
FAM-34,Plank,3525a526-c7a6-5d33-9758-4428da2760b6,3525a526-c7a6-5d33-9758-4428da2760b6;6edde0de-7492-5b33-ab28-5f27747c0bbc;c166fed2-3d32-5641-94e5-8ea16ec447eb;ab2ee7bc-cc73-55a9-b542-31821cac14ca,Plank;Plank (Standard);Pause Plank;Slow Eccentric Plank,Bodyweight,Core,,plank,Plank,,"rectus_abdominis, transverse_abdominis",erector_spinae,,,images/flat/plank-main.webp,EXACT,Exact static prone forearm plank match.,Static movement: RepDB provides single 'main' image rather than start/peak pose pair.,PENDING,,,,
FAM-35,Hanging Leg Raise,803fcabc-ad1c-52ac-b956-9e85a593c6f3,803fcabc-ad1c-52ac-b956-9e85a593c6f3;4d83d57c-2da7-50e0-a69f-f8dabc69135d;704c2f48-894c-5197-9232-236d83fd8118;da4d6b6f-ec07-5d98-b994-cb0bea76a66f,Hanging Leg Raise;Hanging Leg Raise (Standard);Pause Hanging Leg Raise;Slow Eccentric Hanging Leg Raise,Bodyweight,Core,,hanging-leg-raise,Hanging Leg Raise,pull_up_bar,"hip_flexors, rectus_abdominis",obliques,images/flat/hanging-leg-raise-start.webp,images/flat/hanging-leg-raise-peak.webp,,EXACT,Exact bar-hanging knee/leg raise match.,None (RepDB: rectus_abdominis/iliopsoas; IndiFit: Core).,PENDING,,,,
